tmdb_id,title,year,x,y,top_terms
1304313,Lee Cronin's The Mummy,2026,0.1308677132139378,-0.13575472899689606,horror; mummy; journalist; supernatural; turns living; tomb missing
687163,Project Hail Mary,2026,0.17708273707876815,-0.07701376214252807,space; spaceship; science teacher; sun; teacher; mission
1226863,The Super Mario Galaxy Movie,2026,0.26941075339168435,-0.1692577496496223,galaxy; mario; space; bowser; galaxy movie; mario galaxy
1007757,Swapped,2026,0.15235661863586947,-0.13289818007784632,bird; valley; forest; adventure; animation; wolf buddy
460465,Mortal Kombat,2021,0.17558217840775384,-0.011886106258883693,hand; fighter; universe; high; seeks trains; sub zero
350,The Devil Wears Prada,2006,0.19870004087802756,-0.009626568700827006,fashion; editor chief; assistant; editor; chief; magazine
1327819,Hoppers,2026,0.18639106819944828,-0.10590120561140436,animal; animals; human; consciousness; robotic; animation
1318447,Apex,2026,0.11060503112694545,-0.06765513608545784,grieving woman; grieving; interesting; film; woman; norway
83533,Avatar: Fire and Ash,2025,0.1930975066121044,-0.09902179412617121,ash; jake; avatar ash; avatar; pandora; tribe
249397,Nymphomaniac: Vol. II,2013,0.09364912987453897,-0.08322486166099292,nymphomaniac; therapy; pleasure; sexually; sex; sexual
936075,Michael,2026,0.1390578731638259,-0.094942573810084,music; jackson; music drama; singer; fame; drama music
603,The Matrix,1999,0.18401253262514117,-0.03275624742956856,matrix; hacker; allegory; reality; world; story
1297842,GOAT,2026,0.14867993657409012,-0.12967771002600095,goat; basketball; sports; big dreams; roarball; animals
11012,Damage,1992,0.17567361714024593,-0.10320110872167858,politician; relationship; son; tory politician; obsessed; obsessed son
744275,After We Fell,2021,0.1967988656299509,-0.14366177510769523,tessa; family; propelled; revelations family; secret keeping; unglued
1084242,Zootopia 2,2025,0.17660819074089504,-0.13660105856742014,zootopia; judy; nick; cop; snake; case
1266127,Ready or Not: Here I Come,2026,0.15313489452717835,-0.09580982039132134,sister; grace; satanic; game; estranged sister; alive
157336,Interstellar,2014,0.2076774217857592,-0.07790578211357876,space; time; travel; interstellar; wormhole; space travel
278,The Shawshank Redemption,1994,0.13317621222599993,-0.08639882434003984,prison; dufresne; shawshank; hope; redemption; 1940s
1290821,Shelter,2026,0.16085927782390322,-0.07693280906825141,storm; remote; close; living; girl; violent
1368166,The Housemaid,2025,0.14732694729326568,-0.11472622106419027,housemaid; job; thriller; mystery; power; millie calloway
840464,Greenland 2: Migration,2026,0.15925445288016013,-0.08968809696714662,greenland; migration; greenland migration; journey; parental sacrifice; remarkable evolution
1242898,Predator: Badlands,2025,0.14782239515162543,-0.055264188770172556,predator; badlands; predator badlands; hostile; deadly; pursuit
39254,Real Steel,2011,0.14999621072927022,-0.08854597302933254,robot; steel; real steel; real; son; robot fighting
755898,War of the Worlds,2025,0.10898527477928571,-0.02713016442119688,war worlds; worlds; privacy; surveillance; war; government
1159559,Scream 7,2026,0.17848763765811548,-0.061801892720706936,spree; murder; sidney; scream; killer; mystery
24428,The Avengers,2012,0.3176971961779645,0.24696172075038958,superhero; team; shield based; nick fury; story problems; peacekeeping agency
